Code,Amount,Units,Time,Province,CustomerId,Supermarket No,Basket,Day,Voucher
I0009,53.48735230859937,3.496392315230094,2024-09-14,P1,C64,S001,B356,Saturday,N
I0046,10.816497034450808,3.2269231652189028,2024-04-09,P1,C394,S006,B50,Tuesday,N
I0042,41.87752782981932,3.2957209381707115,2024-10-27,P1,C474,S008,B179,Sunday,N
I0043,46.19454586613188,5.34530073038944,2024-11-12,P1,C566,S009,B304,Tuesday,N
I0037,51.53394640817584,5.073883943246015,2024-05-19,P1,C265,S000,B300,Sunday,N
I0048,15.909863302306112,3.3418998750051987,2024-04-26,P1,C178,S009,B33,Friday,N
I0003,22.366057388390207,2.8581653900803023,2024-03-26,P1,C953,S005,B245,Tuesday,N
I0028,37.73810606409461,3.1690132266742546,2024-10-01,P1,C440,S006,B80,Tuesday,N
I0022,113.19656912807903,6.776091329652813,2024-10-09,P1,C491,S005,B232,Wednesday,N
I0006,60.93193304415863,8.881128412485282,2024-07-17,P1,C769,S008,B149,Wednesday,N
I0034,98.78926947157308,5.907758333781581,2024-05-29,P1,C686,S005,B270,Wednesday,N
I0046,29.106939235037984,1.583188049011137,2024-02-06,P1,C704,S006,B18,Tuesday,N
I0026,6.483525628143396,1.9869109647000665,2024-09-12,P1,C193,S003,B314,Thursday,N
I0008,19.82911094112811,2.007330532223682,2024-06-26,P1,C696,S001,B57,Wednesday,N
I0044,53.66026548693189,3.242749989284926,2024-08-02,P1,C982,S003,B105,Friday,N
I0015,15.53798138333531,3.1571086891087163,2024-10-12,P1,C482,S008,B182,Saturday,N
I0030,30.62078611322802,4.299694465673531,2024-03-30,P1,C508,S006,B388,Saturday,N
I0002,57.12132392337144,6.7862790809246585,2024-03-20,P1,C407,S008,B235,Wednesday,N
I0036,51.71369564778784,7.829374021991554,2024-05-19,P1,C34,S002,B86,Sunday,N
I0020,74.94916631033267,4.045788027450781,2024-10-02,P1,C390,S004,B124,Wednesday,N
I0003,64.92964899452512,5.055053149561527,2024-06-29,P1,C253,S007,B318,Saturday,N
I0046,31.060374427376907,7.106389310941636,2024-02-23,P1,C344,S006,B389,Friday,N
I0009,19.990571114459502,5.450190898566098,2024-03-18,P1,C129,S006,B327,Monday,N
I0016,90.1960699390524,6.933354722452707,2024-12-08,P1,C869,S000,B27,Sunday,N
I0024,59.82184614947085,4.20831805885617,2024-12-03,P1,C459,S005,B247,Tuesday,N
I0049,21.82360404451064,1.3555424756455148,2024-02-27,P1,C703,S006,B356,Tuesday,N
I0003,22.394978189845816,1.1772399622686112,2024-06-26,P1,C266,S009,B269,Wednesday,N
I0018,17.4386711246823,1.7321625073825129,2024-12-09,P1,C213,S004,B155,Monday,N
I0006,76.6304467076839,6.301328215312285,2024-09-25,P1,C140,S004,B188,Wednesday,N
I0033,30.551949450630094,4.363096092796393,2024-10-19,P1,C433,S003,B122,Saturday,N
I0026,44.86274085251944,8.37261821794235,2024-09-08,P1,C374,S007,B102,Sunday,N
I0005,55.17153872045567,4.102357088172679,2024-09-11,P1,C658,S009,B14,Wednesday,N
I0037,76.55801539513641,5.901838723152288,2024-11-30,P1,C578,S004,B301,Saturday,N
I0029,79.8562816557456,4.1046569261694055,2024-02-26,P1,C310,S007,B81,Monday,N
I0036,33.653111000769655,2.609727027259772,2024-10-10,P1,C201,S002,B19,Thursday,N
I0049,65.53699707053767,5.1107012867304045,2024-12-12,P1,C279,S004,B281,Thursday,N
I0014,47.07016934714072,3.955134401846128,2024-08-02,P1,C328,S003,B60,Friday,N
I0003,12.378661714063364,4.843972821450575,2024-03-14,P1,C224,S007,B370,Thursday,N
I0048,23.33073865587984,3.639564543731016,2024-11-27,P1,C205,S004,B155,Wednesday,N
I0048,39.834184570994175,5.156585342832204,2024-11-23,P1,C421,S006,B12,Saturday,N
I0041,19.57414816855133,5.140308883062753,2024-12-27,P1,C26,S002,B105,Friday,N
I0007,13.041407116963542,3.665674100574943,2024-11-25,P1,C651,S007,B318,Monday,N
I0025,51.1247774466419,7.647102994661145,2024-02-12,P1,C547,S006,B93,Monday,N
I0029,50.260817816638585,4.432665583310464,2024-12-13,P1,C206,S007,B7,Friday,N
I0006,96.9682251557732,5.834924352014943,2024-04-21,P1,C67,S008,B383,Sunday,N
I0039,52.71787503214604,3.0429081240138123,2024-06-14,P1,C319,S002,B391,Friday,N
I0041,58.81210977127535,5.301837773194351,2024-12-02,P1,C866,S002,B145,Monday,N
I0000,37.74444218772408,3.4169354450978067,2024-06-10,P1,C602,S007,B347,Monday,N
I0043,69.64534783153631,6.29024784853245,2024-12-28,P1,C317,S008,B47,Saturday,N
I0004,4.865548034580304,1.6322557820831958,2024-01-17,P1,C656,S001,B204,Wednesday,N
I0005,14.359857036751622,3.3792524836883606,2024-08-30,P1,C435,S005,B259,Friday,N
I0007,90.68665458208002,5.991081472838578,2024-05-28,P1,C873,S003,B230,Tuesday,N
I0005,19.27630445173449,3.505985446022688,2024-05-30,P1,C817,S002,B124,Thursday,N
I0023,44.23770329828128,4.552123395255173,2024-12-21,P1,C173,S004,B264,Saturday,N
I0016,30.463880758125285,3.435803243674888,2024-07-14,P1,C253,S000,B352,Sunday,N
I0025,96.38832267630993,5.261447021540018,2024-04-17,P1,C245,S009,B384,Wednesday,N
I0048,143.4373551412115,8.716468595000968,2024-09-22,P1,C465,S004,B233,Sunday,N
I0014,120.3311293202404,6.446669060778108,2024-09-19,P1,C594,S007,B22,Thursday,N
I0013,17.26541725101752,5.313390168216791,2024-09-10,P1,C542,S008,B213,Tuesday,N
I0012,21.53854149643613,1.1147990213519003,2024-08-15,P1,C438,S004,B392,Thursday,N
I0006,27.32130898833804,4.836470815642721,2024-08-23,P1,C806,S008,B252,Friday,N
I0043,79.64226076163274,7.016673029512914,2024-11-16,P1,C953,S002,B116,Saturday,N
I0027,41.91860159561232,9.205518671841336,2024-05-05,P1,C129,S001,B370,Sunday,N
I0000,53.31363160771746,4.265130044378527,2024-04-06,P1,C250,S002,B169,Saturday,N
I0005,56.11083445296258,6.109200921368122,2024-09-09,P1,C206,S004,B376,Monday,N
I0023,72.00041957482425,9.512996769852895,2024-11-26,P1,C620,S007,B357,Tuesday,N
I0023,17.799638397283065,4.8127173291433145,2024-10-05,P1,C505,S003,B340,Saturday,N
I0006,96.63911169004017,5.017581350142168,2024-12-27,P1,C570,S000,B7,Friday,N
I0033,30.858485013375205,2.436731749393373,2024-04-27,P1,C214,S001,B41,Saturday,N
I0015,42.87559772321873,3.5382333419060803,2024-02-09,P1,C466,S005,B55,Friday,N
I0008,71.208484460031,7.893795314051262,2024-01-29,P1,C629,S005,B325,Monday,N
I0025,89.77209020984584,5.920606980119395,2024-02-11,P1,C828,S007,B103,Sunday,N
I0040,84.75983923855152,5.28828291849111,2024-07-07,P1,C720,S009,B215,Sunday,N
I0008,41.79745657697956,2.3590962764750945,2024-08-21,P1,C649,S008,B187,Wednesday,N
I0009,75.40424350639948,5.194960509689029,2024-12-07,P1,C285,S004,B359,Saturday,N
I0020,126.48446055537,6.355490480560845,2024-12-07,P1,C416,S006,B242,Saturday,N
I0020,31.333034435945947,5.869609064015272,2024-11-28,P1,C497,S000,B212,Thursday,N
I0018,67.26488047692432,3.5669793105827123,2024-04-21,P1,C922,S006,B132,Sunday,N
I0034,13.526096372510445,3.267888250269189,2024-06-07,P1,C6,S005,B175,Friday,N
I0043,33.95932812403289,4.7119499904812585,2024-08-26,P1,C301,S007,B358,Monday,N
I0048,19.944250269915493,4.285086560450681,2024-04-03,P1,C119,S000,B304,Wednesday,N
I0025,78.59021902737707,4.51068873018086,2024-04-18,P1,C597,S000,B24,Thursday,N
I0047,8.914907106269546,2.3768700023796336,2024-03-27,P1,C983,S005,B117,Wednesday,N
I0043,92.36193732055676,5.23406345246566,2024-07-31,P1,C454,S002,B23,Wednesday,N
I0004,47.57230546891134,3.7625411826070594,2024-11-20,P1,C197,S007,B164,Wednesday,N
I0031,48.373821674694,5.680315215263344,2024-12-05,P1,C874,S002,B327,Thursday,N
I0014,32.02750236948709,4.437537322755074,2024-05-23,P1,C512,S005,B296,Thursday,N
I0004,12.78214705119123,4.319455734792261,2024-06-17,P1,C190,S000,B176,Monday,N
I0021,52.57819286315569,6.50262340495323,2024-07-01,P1,C582,S003,B178,Monday,N
I0020,62.64003549128933,5.979420277225999,2024-08-11,P1,C688,S002,B326,Sunday,N
I0005,41.47018759538685,5.641141510102727,2024-01-12,P1,C963,S004,B136,Friday,N
I0042,91.0020527331364,5.633518685525981,2024-08-10,P1,C302,S001,B27,Saturday,N
I0022,54.61794003364465,3.0441151220386904,2024-10-15,P1,C877,S009,B270,Tuesday,N
I0023,11.15906828567215,1.1946284077808162,2024-02-15,P1,C60,S004,B256,Thursday,N
I0030,34.709880403525936,3.1976809666416584,2024-07-20,P1,C801,S009,B318,Saturday,N
I0049,37.41348717048407,4.075860088740247,2024-02-01,P1,C833,S009,B105,Thursday,N
I0046,15.335507543938268,2.6806851513440426,2024-07-05,P1,C320,S005,B294,Friday,N
I0004,82.17254313642837,4.543593124076201,2024-09-16,P1,C888,S001,B374,Monday,N
I0012,46.58151077415541,2.9580530689840847,2024-08-28,P1,C1,S002,B218,Wednesday,N
I0002,90.73632572183934,6.0946782771634735,2024-09-13,P1,C619,S003,B345,Friday,N
I0046,38.67563679650777,8.663043787903552,2024-12-14,P1,C358,S008,B272,Saturday,N
I0019,47.2043649355394,2.476380417012275,2024-12-29,P1,C792,S007,B114,Sunday,N
I0018,2.6799419114153022,0.6264267983996349,2024-10-15,P1,C912,S009,B25,Tuesday,N
I0045,59.362985762970304,4.650058692779208,2024-03-08,P1,C365,S003,B269,Friday,N
I0035,88.21748186633697,7.96345588242397,2024-01-17,P1,C43,S007,B44,Wednesday,N
I0036,5.549899306533969,0.8865954279117869,2024-08-27,P1,C186,S008,B359,Tuesday,N
I0041,36.43555154598047,7.160875190721902,2024-12-26,P1,C533,S001,B210,Thursday,N
I0020,113.83176670033724,7.462157138552975,2024-07-18,P1,C867,S003,B139,Thursday,N
I0042,28.814777183228035,1.80722256182241,2024-04-18,P1,C707,S000,B47,Thursday,N
I0008,66.44485060802003,3.35382502566528,2024-06-16,P1,C489,S004,B275,Sunday,N
I0033,64.07229945413377,7.466104289643467,2024-08-21,P1,C715,S003,B38,Wednesday,N
I0024,32.057394969651305,3.2302756436940454,2024-04-12,P1,C564,S009,B118,Friday,N
I0038,52.245813062487485,2.8641598630916825,2024-06-08,P1,C848,S008,B351,Saturday,N
I0017,117.45923940825864,6.093587710889858,2024-07-21,P1,C753,S001,B56,Sunday,N
I0000,98.3584015072786,5.567759472623085,2024-10-21,P1,C666,S009,B273,Monday,N
I0016,68.03201884533483,4.7685454194499375,2024-09-15,P1,C524,S007,B81,Sunday,N
I0035,25.39376171265705,3.2615611163000864,2024-12-05,P1,C791,S000,B6,Thursday,N
I0032,90.41783045704436,6.897029176095131,2024-01-31,P1,C224,S005,B179,Wednesday,N
I0023,31.79114664648061,3.715984644633075,2024-10-24,P1,C726,S002,B99,Thursday,N
I0004,169.6127935072206,9.433632073165937,2024-07-16,P1,C5,S001,B23,Tuesday,N
I0002,30.45578330703789,3.905884360164512,2024-05-13,P1,C262,S007,B152,Monday,N
I0024,47.927472648261066,3.373131470843371,2024-07-12,P1,C961,S003,B154,Friday,N
I0005,80.19207164344024,6.61084898268283,2024-04-30,P1,C346,S006,B251,Tuesday,N
I0000,12.341020934583598,3.7083801249949593,2024-07-01,P1,C927,S000,B263,Monday,N
I0039,41.449265294869306,9.669370388235096,2024-08-19,P1,C355,S008,B104,Monday,N
I0044,39.02815302340003,9.468921443605405,2024-02-14,P1,C206,S002,B128,Wednesday,N
I0048,104.52024147415324,6.438770362570007,2024-05-09,P1,C713,S002,B265,Thursday,N
I0007,104.41863497732876,6.21880583169534,2024-07-30,P1,C366,S002,B298,Tuesday,N
I0049,14.549405693159192,1.1184822723595564,2024-12-03,P1,C293,S001,B100,Tuesday,N
I0043,11.438078370486265,1.911985605643158,2024-12-25,P1,C655,S007,B148,Wednesday,N
I0037,15.862021648539567,6.608448973656651,2024-01-15,P1,C926,S006,B72,Monday,N
I0034,19.016173097650118,1.370670301465047,2024-06-10,P1,C430,S004,B269,Monday,N
I0011,35.92763690794906,6.646692048156365,2024-05-13,P1,C189,S004,B231,Monday,N
I0004,18.7453034732358,1.1217727521122027,2024-06-17,P1,C88,S001,B378,Monday,N
I0040,122.1234094647322,8.084591905695955,2024-02-07,P1,C647,S008,B71,Wednesday,N
I0037,114.92227964899512,8.148139812136654,2024-09-11,P1,C291,S004,B207,Wednesday,N
I0033,9.04145686078559,1.0468387030116912,2024-03-03,P1,C327,S003,B397,Sunday,N
I0021,91.55144748540005,4.644257208423015,2024-11-06,P1,C399,S004,B87,Wednesday,N
I0006,8.66285939884427,2.442605272506124,2024-07-01,P1,C93,S005,B311,Monday,N
I0037,45.34196297250124,4.56210653768914,2024-11-11,P1,C573,S007,B141,Monday,N
I0020,61.42597223956229,3.103676686524445,2024-09-30,P1,C195,S005,B155,Monday,N
I0016,47.99157901031492,2.4757806876518824,2024-03-24,P1,C831,S003,B341,Sunday,N
I0029,5.664122387381071,1.4650525931774765,2024-10-07,P1,C428,S006,B201,Monday,N
I0017,19.79488343507797,4.272305696068512,2024-05-28,P1,C906,S009,B221,Tuesday,N
I0045,30.50002503302162,5.63505848177341,2024-09-03,P1,C40,S001,B336,Tuesday,N
I0005,29.90497915463781,2.010653420830386,2024-08-26,P1,C686,S007,B103,Monday,N
I0022,34.42928931333716,2.430129909672688,2024-09-04,P1,C489,S007,B42,Wednesday,N
I0049,35.84929171440353,5.766168534237877,2024-10-18,P1,C208,S006,B41,Friday,N
I0024,206.1525649241548,11.879632552493074,2024-08-16,P1,C248,S001,B23,Friday,N
I0034,27.09497157463198,3.721155169048631,2024-04-25,P1,C151,S002,B169,Thursday,N
I0000,106.41394847608328,7.508722200752187,2024-07-14,P1,C76,S007,B213,Sunday,N
I0032,28.9025688310741,3.82225970340228,2024-09-21,P1,C780,S003,B113,Saturday,N
I0044,27.876502290051484,3.78926781697896,2024-12-09,P1,C993,S007,B83,Monday,N
I0040,24.656462065223387,2.938045802906667,2024-12-03,P1,C978,S001,B253,Tuesday,N
I0017,29.760265579486934,6.651118597785372,2024-04-11,P1,C341,S008,B246,Thursday,N
I0042,61.08093217655303,7.112114594676043,2024-08-15,P1,C135,S008,B318,Thursday,N
I0027,57.583775445191634,4.004552253563013,2024-07-07,P1,C67,S006,B204,Sunday,N
I0022,139.79622531745554,9.37463213048385,2024-03-09,P1,C648,S000,B214,Saturday,N
I0013,20.896057077653285,3.729200031852592,2024-12-19,P1,C237,S000,B198,Thursday,N
I0020,16.426612722784743,6.888973769460636,2024-04-27,P1,C195,S005,B42,Saturday,N
I0031,57.12969695739416,4.857239093099078,2024-03-18,P1,C534,S008,B350,Monday,N
I0011,19.797987020250325,8.110620682905282,2024-11-09,P1,C140,S009,B355,Saturday,N
I0039,40.6081735633104,2.317154388116414,2024-12-25,P1,C657,S002,B322,Wednesday,N
I0024,60.13531075355003,5.642588730440374,2024-11-03,P1,C586,S007,B134,Sunday,N
I0031,37.10680243463133,4.166539877308339,2024-09-26,P1,C831,S007,B287,Thursday,N
I0023,61.04543366762103,4.03323572298826,2024-12-15,P1,C46,S005,B271,Sunday,N
I0044,27.117958156736183,3.8909299520182823,2024-02-27,P1,C373,S002,B90,Tuesday,N
I0003,9.043761446793194,4.30098200541862,2024-04-25,P1,C277,S003,B92,Thursday,N
I0004,36.81036477538769,6.127793686736609,2024-02-02,P1,C855,S008,B41,Friday,N
I0043,24.56403074628936,4.173931948523301,2024-10-04,P1,C651,S007,B152,Friday,N
I0021,34.15989632682636,4.765984763529663,2024-08-05,P1,C61,S003,B184,Monday,N
I0019,36.45331866534956,3.32847669182654,2024-05-01,P1,C724,S002,B79,Wednesday,N
I0007,126.99753887365938,8.173097558641608,2024-10-15,P1,C513,S007,B177,Tuesday,N
I0042,24.25621573551848,5.023776038572919,2024-10-23,P1,C657,S008,B280,Wednesday,N
I0017,1.8382429171371135,0.7796438553225361,2024-07-25,P1,C258,S002,B145,Thursday,N
I0032,57.270952547390245,4.229897872773325,2024-09-30,P1,C126,S004,B335,Monday,N
I0028,29.990000722969818,5.881576290267756,2024-10-15,P1,C194,S000,B25,Tuesday,N
I0026,56.0544277289343,3.9053166252195215,2024-05-05,P1,C797,S009,B99,Sunday,N
I0027,34.555187872082534,1.815759637288609,2024-05-12,P1,C734,S007,B255,Sunday,N
I0028,37.370561118792445,3.3013288870180912,2024-04-09,P1,C374,S007,B99,Tuesday,N
I0009,13.496031801580571,5.007128504564307,2024-07-15,P1,C364,S002,B164,Monday,N
I0022,46.90418814369769,6.43672157417015,2024-03-14,P1,C294,S002,B215,Thursday,N
I0033,23.2338096953287,4.338074205965712,2024-06-09,P1,C54,S003,B62,Sunday,N
I0020,58.70834509858703,3.6519410312573313,2024-05-16,P1,C410,S006,B304,Thursday,N
I0035,136.68660745126965,9.3294237961337,2024-02-14,P1,C18,S006,B120,Wednesday,N
I0019,13.571744773065753,1.985740672434194,2024-06-12,P1,C822,S006,B116,Wednesday,N
I0042,51.85838305913261,3.787628018389321,2024-12-02,P1,C228,S009,B77,Monday,N
I0007,7.500931389978308,1.5268934399524745,2024-11-02,P1,C479,S006,B352,Saturday,N
I0028,12.014003264302051,3.2727954297644777,2024-01-01,P1,C731,S002,B136,Monday,N
I0029,64.44478738268387,6.234999193450918,2024-07-01,P1,C181,S003,B199,Monday,N
I0018,28.202307839562675,3.855097100421935,2024-02-15,P1,C455,S004,B362,Thursday,N
I0013,26.04584391449584,4.571398233810757,2024-03-31,P1,C604,S009,B211,Sunday,N
I0035,42.073553424284505,2.9759130274302064,2024-04-12,P1,C240,S003,B277,Friday,N
I0048,23.6714683414024,2.496242538926162,2024-11-07,P1,C493,S004,B96,Thursday,N
I0031,47.57802632414494,3.772404068306797,2024-05-09,P1,C69,S009,B49,Thursday,N
I0013,23.644101514014373,6.498356239015266,2024-12-07,P1,C913,S002,B356,Saturday,N
I0037,77.69639504181542,4.252312770156662,2024-07-22,P1,C394,S001,B349,Monday,N
I0041,27.130360268082494,8.647863969920012,2024-03-26,P1,C265,S009,B384,Tuesday,N
I0003,39.14921376032124,3.5643967852614207,2024-04-01,P1,C326,S000,B147,Monday,N
I0003,84.02471015045658,4.899927619201226,2024-11-24,P1,C399,S001,B318,Sunday,N
I0046,50.038700682028114,6.005537295336103,2024-03-18,P1,C847,S003,B163,Monday,N
I0045,73.04329188816081,4.145339334709561,2024-12-10,P1,C55,S007,B266,Tuesday,N
I0044,65.57811689208854,8.03844021576204,2024-09-11,P1,C567,S002,B1,Wednesday,N
I0009,4.824848446805746,0.8136179617330901,2024-01-16,P1,C758,S006,B183,Tuesday,N
I0024,16.817693135517246,4.517035573238929,2024-03-16,P1,C7,S009,B357,Saturday,N
I0046,85.40390231010805,7.117603664836855,2024-10-31,P1,C201,S000,B277,Thursday,N
I0017,12.46980199390019,2.4151691930529755,2024-07-23,P1,C384,S003,B21,Tuesday,N
I0045,86.71397564779485,8.010559128101699,2024-11-19,P1,C38,S005,B113,Tuesday,N
I0015,123.77742025458365,6.510542325888874,2024-08-02,P1,C965,S003,B203,Friday,N
I0014,28.187481231685176,1.7062248791016106,2024-10-22,P1,C275,S002,B335,Tuesday,N
I0000,26.490674840955812,2.326172464316973,2024-08-06,P1,C711,S009,B53,Tuesday,N
I0010,25.13397534012208,1.569691916468736,2024-01-31,P1,C822,S003,B7,Wednesday,N
I0038,63.807344877645,3.526072742065921,2024-05-23,P1,C247,S009,B286,Thursday,N
I0036,52.90201223284241,6.274289846447061,2024-05-01,P1,C211,S007,B322,Wednesday,N
I0021,89.01862233094954,5.743701748939369,2024-03-18,P1,C469,S007,B312,Monday,N
I0031,57.224741986070185,4.906576040338359,2024-04-30,P1,C846,S007,B45,Tuesday,N
I0020,37.31657394483119,3.226179793633696,2024-04-03,P1,C966,S009,B49,Wednesday,N
I0006,69.15280838251599,4.09430003637382,2024-10-26,P1,C526,S008,B215,Saturday,N
I0017,21.49647558082897,3.132470230397548,2024-12-05,P1,C822,S000,B179,Thursday,N
I0039,23.98810373588004,2.994106228564018,2024-11-14,P1,C488,S003,B3,Thursday,N
I0027,75.78143931131036,7.824500598007837,2024-06-28,P1,C332,S002,B338,Friday,N
I0028,75.9049097581673,7.258957371208854,2024-04-13,P1,C713,S006,B239,Saturday,N
I0037,68.38122035554262,6.028433832072891,2024-12-30,P1,C557,S004,B29,Monday,N
I0034,139.53414727468126,8.365127726828412,2024-02-01,P1,C60,S006,B252,Thursday,N
I0017,57.4341958460135,3.104093666921602,2024-06-09,P1,C89,S009,B281,Sunday,N
I0032,76.09201275106027,6.348225264211926,2024-08-07,P1,C325,S002,B362,Wednesday,N
I0049,66.75665999853695,4.210948566045886,2024-03-26,P1,C737,S008,B123,Tuesday,N
I0023,36.17266613731998,2.1476847549804345,2024-10-01,P1,C285,S004,B15,Tuesday,N
I0032,138.31896240441088,8.22576102165904,2024-04-04,P1,C488,S002,B15,Thursday,N
I0012,113.88361739093196,6.383160051611421,2024-04-20,P1,C311,S001,B351,Saturday,N
I0032,81.34359018089175,5.093922313999126,2024-04-28,P1,C745,S002,B102,Sunday,N
I0044,19.678235778298077,3.942402557792816,2024-06-23,P1,C988,S001,B305,Sunday,N
I0044,126.29302440472468,8.108073644360129,2024-09-29,P1,C585,S003,B108,Sunday,N
I0037,94.48499982664671,5.12943536108074,2024-02-22,P1,C844,S007,B348,Thursday,N
I0037,42.94633498768745,3.930007696915411,2024-06-04,P1,C368,S005,B113,Tuesday,N
I0011,60.787220659981,5.807858362677692,2024-02-29,P1,C851,S005,B278,Thursday,N
I0040,93.93155285091484,5.17323776760971,2024-02-09,P1,C975,S006,B316,Friday,N
I0022,79.26080949612835,4.036171164565225,2024-10-18,P1,C893,S004,B239,Friday,N
I0038,11.746063591782574,5.032970159658879,2024-06-04,P1,C787,S005,B337,Tuesday,N
I0011,12.24064898681742,5.037074694353054,2024-03-05,P1,C617,S008,B120,Tuesday,N
I0036,32.3348337869944,5.422460739370066,2024-11-15,P1,C703,S005,B161,Friday,N
I0042,54.17126574039144,4.98513295179745,2024-02-14,P1,C414,S004,B376,Wednesday,N
I0022,32.124923469319306,2.4197013544780543,2024-06-08,P1,C564,S007,B290,Saturday,N
I0016,82.52087346482799,6.149023569051447,2024-02-03,P1,C149,S001,B319,Saturday,N
I0029,54.14363584197887,4.262828967914449,2024-06-20,P1,C900,S000,B171,Thursday,N
I0027,27.674711101656374,5.721667625072142,2024-10-25,P1,C902,S001,B242,Friday,N
I0040,23.80745883214686,3.5400976060992893,2024-10-05,P1,C76,S003,B42,Saturday,N
I0038,23.678323904566263,3.1018978277681373,2024-02-14,P1,C629,S004,B204,Wednesday,N
I0037,12.457878384238496,4.610540018009405,2024-05-18,P1,C209,S002,B395,Saturday,N
I0041,21.24988385827289,3.421416257539148,2024-12-27,P1,C123,S003,B73,Friday,N
I0048,78.13202577294452,5.5753776340074594,2024-03-18,P1,C851,S003,B232,Monday,N
I0000,66.65808617157067,8.721606140472252,2024-01-26,P1,C687,S001,B344,Friday,N
I0014,31.10939981237853,8.722857620542406,2024-01-08,P1,C427,S002,B79,Monday,N
I0008,82.52649988963013,5.425392560861616,2024-10-06,P1,C20,S001,B243,Sunday,N
I0017,46.7072085965739,4.639880772097913,2024-03-06,P1,C698,S001,B270,Wednesday,N
I0005,41.92725129823362,4.834541835994216,2024-02-08,P1,C844,S005,B156,Thursday,N
I0012,5.892713750384152,2.1581546910974714,2024-07-06,P1,C522,S002,B131,Saturday,N
I0045,154.95280429979442,9.197538504867948,2024-12-27,P1,C148,S002,B260,Friday,N
I0022,72.52345422557671,6.816422152949457,2024-10-06,P1,C623,S002,B70,Sunday,N
I0001,74.51466095590624,4.830896393568517,2024-11-04,P1,C736,S002,B276,Monday,N
I0006,25.831361993708743,2.333420664882881,2024-06-05,P1,C525,S001,B297,Wednesday,N
I0048,18.33052270457469,4.384153572051624,2024-08-20,P1,C531,S002,B340,Tuesday,N
I0023,100.66826194194552,8.715569478967769,2024-04-21,P1,C835,S007,B108,Sunday,N
I0036,104.67263494824157,7.52527798467434,2024-04-30,P1,C524,S002,B87,Tuesday,N
I0043,65.6033317424582,4.40200230942682,2024-03-11,P1,C89,S000,B211,Monday,N
I0037,148.3609350445545,8.461442648709838,2024-06-11,P1,C669,S007,B204,Tuesday,N
I0013,46.24152389379784,4.309716965090418,2024-10-20,P1,C374,S006,B67,Sunday,N
I0017,93.9556156897895,7.597040375236749,2024-04-04,P1,C998,S008,B104,Thursday,N
I0008,29.498999528243104,1.9757048717429333,2024-08-15,P1,C375,S007,B201,Thursday,N
I0036,134.88109901131048,6.815789400169295,2024-05-03,P1,C830,S003,B358,Friday,N
I0018,27.878715956351115,6.565974263220478,2024-07-09,P1,C831,S006,B22,Tuesday,N
I0049,48.17300528862699,3.900806986130598,2024-10-19,P1,C10,S002,B305,Saturday,N
I0046,55.44920621789046,3.566658055848947,2024-07-20,P1,C960,S001,B113,Saturday,N
I0024,126.09818659617044,9.45961613509429,2024-05-12,P1,C375,S001,B309,Sunday,N
I0029,124.61150155345491,6.586966538582819,2024-04-27,P1,C365,S009,B206,Saturday,N
I0045,117.5955045719897,8.030352017551369,2024-02-26,P1,C879,S003,B336,Monday,N
I0030,109.35677865140246,6.0020950591356765,2024-02-17,P1,C507,S005,B17,Saturday,N
