customer_id,total_spent,avg_transaction,total_units,value_segment
536,3.59,3.59,1,Low
537,2.19,2.19,1,Low
540,6.98,3.49,4,Low
541,0.99,0.99,1,Low
543,8.93,1.2757142857142856,9,Low
545,0.99,0.99,1,Low
546,2.88,1.44,2,Low
548,3.08,1.54,2,Low
552,2.98,1.49,2,Low
554,7.29,1.458,5,Low
557,2.59,2.59,1,Low
563,0.79,0.79,1,Low
565,6.21,0.8871428571428571,7,Low
568,0.99,0.99,1,Low
569,2.18,2.18,2,Low
570,5.29,1.3225,6,Low
571,29.09,2.424166666666667,12,Low
574,9.97,4.985,3,Low
575,1.79,1.79,1,Low
578,2.39,2.39,1,Low
579,3.67,1.2233333333333334,3,Low
580,1.19,1.19,1,Low
581,8.21,1.6420000000000001,5,Low
583,33.21,1.7478947368421054,26,Low
584,1.6,1.6,2,Low
587,12.14,1.5175,8,Low
591,3.34,1.67,3,Low
596,4.09,2.045,2,Low
597,4.48,2.24,2,Low
598,5.7700000000000005,1.9233333333333336,3,Low
600,1.19,1.19,1,Low
601,3.17,1.585,3,Low
603,1.8599999999999999,0.9299999999999999,2,Low
604,0.45,0.45,1,Low
606,8.87,1.7739999999999998,5,Low
607,7.47,1.494,5,Low
609,3.09,1.545,2,Low
612,2.25,2.25,1,Low
613,4.99,2.495,3,Low
615,5.72,1.43,4,Low
616,8.4,1.4000000000000001,7,Low
618,24.240000000000002,1.8646153846153848,16,Low
619,13.47,4.49,3,Low
620,5.83,0.8328571428571429,7,Low
621,17.14,2.856666666666667,6,Low
622,2.79,2.79,1,Low
623,14.69,1.3354545454545454,12,Low
625,1.29,1.29,1,Low
627,12.760000000000002,6.380000000000001,4,Low
631,2.25,2.25,1,Low
632,3.94,1.3133333333333332,3,Low
633,9.48,2.37,4,Low
635,5.67,1.89,3,Low
636,9.23,1.3185714285714287,7,Low
637,2.68,1.34,2,Low
638,10.620000000000001,1.3275000000000001,8,Low
639,3.79,1.895,3,Low
640,18.64,1.0355555555555556,18,Low
641,6.32,1.264,6,Low
642,3.1799999999999997,1.5899999999999999,5,Low
643,0.79,0.79,1,Low
644,9.3,1.55,10,Low
646,4.88,2.44,2,Low
648,4.48,2.24,2,Low
649,0.84,0.84,1,Low
650,5.57,1.3925,5,Low
652,3.43,1.1433333333333333,3,Low
653,5.28,1.76,3,Low
654,3.0,3.0,2,Low
655,6.470000000000001,2.1566666666666667,3,Low
656,8.89,1.4816666666666667,6,Low
657,2.08,1.04,2,Low
660,21.15,1.626923076923077,16,Low
661,1.68,1.68,2,Low
662,2.39,1.195,2,Low
664,11.73,1.955,7,Low
667,4.28,2.14,2,Low
670,1.99,0.995,2,Low
671,2.54,1.27,2,Low
672,9.46,2.365,5,Low
673,6.88,2.2933333333333334,3,Low
675,2.86,1.43,2,Low
676,0.99,0.99,1,Low
677,6.09,2.03,3,Low
678,7.87,2.6233333333333335,3,Low
679,5.57,2.785,3,Low
680,25.29,1.8064285714285713,16,Low
681,7.82,1.564,5,Low
685,3.67,1.835,5,Low
686,1.09,1.09,1,Low
687,14.120000000000001,1.7650000000000001,8,Low
688,19.5,2.1666666666666665,10,Low
690,7.5,1.875,4,Low
691,9.68,2.42,5,Low
692,1.98,1.98,2,Low
693,2.58,1.29,2,Low
694,51.47,2.3395454545454544,33,Low
695,2.89,2.89,1,Low
696,1.09,1.09,1,Low
697,0.67,0.67,1,Low
698,2.69,2.69,1,Low
699,2.66,1.33,2,Low
700,6.96,1.392,8,Low
701,0.99,0.99,1,Low
703,0.45,0.45,1,Low
704,12.6,1.4,12,Low
707,16.02,1.4563636363636363,15,Low
709,21.87,3.1242857142857146,12,Low
710,2.95,0.9833333333333334,3,Low
711,5.75,1.9166666666666667,5,Low
712,0.69,0.69,1,Low
713,1.29,1.29,1,Low
714,6.07,2.0233333333333334,3,Low
715,5.13,1.2825,4,Low
716,3.6799999999999997,1.8399999999999999,2,Low
717,0.79,0.79,1,Low
719,25.94,2.3581818181818184,11,Low
720,29.22,1.3281818181818181,32,Low
721,24.92,2.492,10,Low
722,11.54,1.6485714285714284,7,Low
723,1.99,1.99,1,Low
726,39.24,1.5092307692307694,30,Low
728,16.43,2.05375,8,Low
732,1.99,1.99,1,Low
733,17.330000000000002,2.475714285714286,7,Low
735,4.48,2.24,2,Low
736,4.76,1.19,4,Low
737,2.62,0.8733333333333334,3,Low
738,4.57,1.5233333333333334,3,Low
740,27.56,2.2966666666666664,14,Low
741,23.71,1.481875,16,Low
742,3.9800000000000004,1.9900000000000002,2,Low
743,23.74,2.158181818181818,14,Low
744,50.35,1.5257575757575759,39,Low
745,11.97,1.33,10,Low
746,24.259999999999998,2.4259999999999997,16,Low
747,6.55,1.31,6,Low
748,22.24,1.39,18,Low
751,13.42,1.342,10,Low
752,7.98,1.596,5,Low
753,3.84,1.92,2,Low
755,10.469999999999999,1.4957142857142856,7,Low
756,2.99,2.99,1,Low
757,10.66,1.1844444444444444,9,Low
758,9.91,1.4157142857142857,11,Low
759,2.22,1.11,2,Low
760,0.84,0.84,1,Low
761,6.68,3.34,4,Low
762,4.88,1.6266666666666667,3,Low
763,6.45,2.15,3,Low
765,9.07,3.0233333333333334,3,Low
767,2.7800000000000002,1.3900000000000001,2,Low
768,1.34,1.34,1,Low
769,13.24,1.324,10,Low
770,8.620000000000001,2.1550000000000002,4,Low
771,4.14,2.07,2,Low
772,32.26,1.6978947368421051,23,Low
774,15.88,1.7644444444444445,9,Low
775,2.69,1.345,2,Low
777,6.18,2.06,3,Low
780,8.22,1.0275,8,Low
781,3.58,1.79,2,Low
783,3.49,3.49,1,Low
784,12.81,4.2700000000000005,7,Low
785,5.37,1.79,3,Low
786,11.38,1.8966666666666667,9,Low
787,6.3,1.575,4,Low
788,26.19,1.746,23,Low
791,5.96,2.98,4,Low
792,14.35,2.05,8,Low
794,1.29,1.29,1,Low
796,3.45,3.45,1,Low
797,2.99,2.99,1,Low
798,13.39,2.231666666666667,7,Low
800,21.35,1.9409090909090911,19,Low
801,3.2800000000000002,1.6400000000000001,2,Low
802,1.5,1.5,1,Low
805,0.67,0.67,1,Low
806,2.2800000000000002,1.1400000000000001,2,Low
807,30.61,1.4576190476190476,30,Low
808,2.82,0.94,3,Low
809,7.03,1.1716666666666666,7,Low
813,1.34,1.34,2,Low
815,15.09,1.3718181818181818,11,Low
816,4.79,2.395,3,Low
822,4.08,2.04,3,Low
827,2.24,1.12,2,Low
829,4.77,1.5899999999999999,3,Low
830,3.19,3.19,1,Low
831,5.18,2.59,2,Low
832,5.74,1.1480000000000001,5,Low
833,1.98,0.99,2,Low
835,10.88,2.176,5,Low
836,27.56,1.8373333333333333,15,Low
837,12.47,1.55875,8,Low
840,8.09,1.1557142857142857,7,Low
841,26.47,2.205833333333333,13,Low
842,4.99,1.6633333333333333,3,Low
843,0.59,0.59,1,Low
845,9.370000000000001,2.3425000000000002,4,Low
846,19.14,1.74,12,Low
847,2.49,2.49,1,Low
849,2.05,1.025,3,Low
851,4.65,1.55,3,Low
852,6.07,1.5175,4,Low
853,1.42,0.71,2,Low
854,1.59,1.59,1,Low
855,1.99,1.99,1,Low
856,3.19,3.19,1,Low
857,26.43,2.2025,13,Low
858,2.08,1.04,2,Low
861,4.48,2.24,3,Low
862,2.98,1.49,2,Low
864,7.5,1.5,5,Low
865,1.98,1.98,2,Low
868,13.450000000000001,2.6900000000000004,5,Low
870,3.96,1.98,4,Low
871,3.19,3.19,1,Low
872,5.88,2.94,3,Low
873,1.29,1.29,1,Low
876,4.94,1.235,5,Low
878,7.460000000000001,1.8650000000000002,4,Low
879,18.38,2.6257142857142854,11,Low
880,9.19,1.5316666666666665,8,Low
882,2.55,1.275,3,Low
883,27.75,3.0833333333333335,13,Low
884,2.37,2.37,3,Low
885,7.5600000000000005,2.52,5,Low
887,4.0600000000000005,2.0300000000000002,4,Low
888,2.98,1.49,2,Low
889,3.67,1.835,3,Low
890,1.99,1.99,1,Low
891,1.77,1.77,3,Low
893,1.95,1.95,1,Low
894,31.490000000000002,1.2111538461538462,26,Low
895,2.5,2.5,1,Low
896,3.49,3.49,1,Low
897,4.48,2.24,2,Low
898,1.35,1.35,1,Low
901,1.75,1.75,1,Low
902,18.4,1.2266666666666666,16,Low
903,3.49,3.49,1,Low
904,37.22,2.0677777777777777,25,Low
906,1.19,1.19,1,Low
910,1.29,1.29,1,Low
912,1.69,1.69,1,Low
914,12.98,1.6225,10,Low
915,22.58,2.258,10,Low
919,4.58,2.29,2,Low
920,0.99,0.99,1,Low
922,2.29,2.29,1,Low
923,6.99,1.3980000000000001,5,Low
924,11.19,1.5985714285714285,8,Low
927,5.58,2.79,2,Low
928,0.49,0.49,1,Low
929,21.52,2.391111111111111,9,Low
930,1.5,1.5,1,Low
931,1.5,1.5,1,Low
932,28.69,2.6081818181818184,15,Low
934,2.39,2.39,1,Low
935,35.51,1.145483870967742,31,Low
936,3.46,1.73,4,Low
937,3.76,0.94,4,Low
938,2.78,2.78,2,Low
939,39.86,1.7330434782608695,32,Low
940,2.38,2.38,2,Low
941,1.78,0.89,2,Low
944,25.92,2.8800000000000003,10,Low
945,5.08,2.54,4,Low
946,2.36,0.7866666666666666,3,Low
947,11.74,1.6771428571428573,16,Low
948,1.5,1.5,1,Low
950,7.49,3.745,3,Low
952,2.98,1.49,2,Low
954,4.14,2.07,2,Low
955,50.84,2.420952380952381,26,Low
956,20.51,2.56375,10,Low
957,4.49,4.49,1,Low
958,1.19,1.19,1,Low
959,10.68,2.136,5,Low
960,1.5,1.5,1,Low
961,24.900000000000002,2.075,12,Low
962,2.09,2.09,1,Low
964,36.83,2.166470588235294,17,Low
966,37.93,2.231176470588235,27,Low
967,8.01,2.0025,4,Low
970,5.38,2.69,2,Low
971,8.4,1.4000000000000001,6,Low
972,2.24,1.12,2,Low
973,27.48,1.5266666666666666,18,Low
975,4.99,4.99,1,Low
979,0.99,0.99,1,Low
980,12.32,1.76,8,Low
983,6.57,2.19,3,Low
984,12.25,2.0416666666666665,6,Low
985,2.77,0.9233333333333333,3,Low
986,1.19,1.19,1,Low
988,7.96,3.98,4,Low
989,11.65,2.9125,5,Low
990,31.25,1.4204545454545454,23,Low
993,1.5,1.5,1,Low
999,9.06,1.1325,12,Low
1000,15.28,1.6977777777777776,10,Low
1001,4.1899999999999995,1.3966666666666665,3,Low
1002,1.19,1.19,1,Low
1003,62.57,2.234642857142857,32,Low
1004,3.68,1.2266666666666668,3,Low
1005,2.25,2.25,1,Low
1006,9.95,1.4214285714285713,7,Low
1008,3.96,1.32,4,Low
1010,10.07,2.0140000000000002,9,Low
1011,13.57,1.9385714285714286,7,Low
1012,25.46,1.8185714285714287,15,Low
1013,3.6799999999999997,1.8399999999999999,2,Low
1014,1.19,1.19,1,Low
1016,22.93,2.86625,12,Low
1019,22.53,2.81625,18,Low
1020,4.0,4.0,2,Low
1021,6.709999999999999,1.6774999999999998,5,Low
1022,6.04,2.013333333333333,3,Low
1024,5.77,1.9233333333333331,3,Low
1026,3.98,1.99,2,Low
1027,4.79,1.1975,5,Low
1030,3.46,1.1533333333333333,3,Low
1034,85.94,3.0692857142857144,37,Low
1035,1.57,1.57,1,Low
1036,4.29,1.43,3,Low
1037,23.0,1.5333333333333334,17,Low
1038,1.88,0.94,2,Low
1039,4.32,0.8640000000000001,5,Low
1045,4.23,1.4100000000000001,3,Low
1046,1.19,1.19,1,Low
1047,20.72,2.072,11,Low
1049,11.94,1.7057142857142857,10,Low
1050,17.32,1.9244444444444444,11,Low
1053,1.98,1.98,2,Low
1054,5.82,1.455,4,Low
1056,15.53,3.8825,7,Low
1058,0.67,0.67,1,Low
1059,3.1799999999999997,1.5899999999999999,2,Low
1063,26.53,1.895,21,Low
1064,1.19,1.19,1,Low
1065,12.73,2.1216666666666666,15,Low
1066,1.98,1.98,2,Low
1067,3.98,1.99,2,Low
1068,2.49,2.49,1,Low
1070,6.01,1.202,5,Low
1072,5.92,1.184,5,Low
1073,5.08,1.6933333333333334,3,Low
1076,9.74,1.6233333333333333,8,Low
1077,5.18,2.59,2,Low
1079,3.35,1.675,2,Low
1080,6.56,1.64,7,Low
1081,11.66,1.9433333333333334,7,Low
1082,3.7800000000000002,1.8900000000000001,2,Low
1083,2.44,1.22,2,Low
1084,5.25,1.75,5,Low
1085,2.25,2.25,1,Low
1091,0.99,0.495,2,Low
1092,13.91,1.1591666666666667,13,Low
1095,1.34,1.34,1,Low
1096,8.07,4.035,3,Low
1097,2.58,1.29,2,Low
1098,9.08,2.27,5,Low
1101,2.35,2.35,1,Low
1105,2.99,2.99,1,Low
1106,30.92,1.7177777777777778,19,Low
1107,26.82,2.438181818181818,11,Low
1111,5.75,1.15,5,Low
1112,5.45,1.8166666666666667,5,Low
1115,2.79,1.395,2,Low
1118,27.09,1.806,15,Low
1122,8.059999999999999,2.0149999999999997,4,Low
1123,6.91,1.3820000000000001,5,Low
1124,8.52,1.42,6,Low
1126,9.65,1.20625,8,Low
1129,9.33,1.555,7,Low
1132,0.94,0.94,1,Low
1133,4.16,1.04,4,Low
1135,7.08,1.416,5,Low
1136,2.45,2.45,1,Low
1137,3.0,1.5,2,Low
1138,1.38,0.69,2,Low
1139,15.5,3.1,6,Low
1141,15.719999999999999,2.2457142857142856,10,Low
1142,4.3,1.4333333333333333,3,Low
1144,1.63,0.815,3,Low
1145,15.34,2.1914285714285713,13,Low
1146,2.63,0.8766666666666666,3,Low
1149,18.16,1.5133333333333334,14,Low
1150,2.58,0.86,4,Low
1151,2.41,1.205,2,Low
1154,2.19,2.19,1,Low
1155,6.07,2.0233333333333334,3,Low
1159,9.02,1.8039999999999998,5,Low
1160,3.38,1.69,2,Low
1161,1.76,0.88,2,Low
1162,8.32,1.6640000000000001,5,Low
1163,29.53,1.845625,24,Low
1164,16.84,1.684,14,Low
1165,1.79,1.79,1,Low
1166,5.65,1.8833333333333335,3,Low
1169,12.26,3.065,4,Low
1170,0.74,0.74,1,Low
1173,23.32,1.7938461538461539,14,Low
1174,41.7,2.9785714285714286,20,Low
1175,2.15,2.15,1,Low
1176,3.1799999999999997,1.5899999999999999,2,Low
1178,20.94,1.9036363636363638,19,Low
1179,1.79,1.79,1,Low
1181,6.56,1.64,5,Low
1183,3.42,1.14,3,Low
1184,3.49,3.49,1,Low
1185,2.29,2.29,1,Low
1186,1.49,1.49,1,Low
1188,1.65,1.65,1,Low
1189,3.69,1.845,2,Low
1190,0.79,0.79,1,Low
1191,13.0,1.8571428571428572,7,Low
1193,8.37,2.7899999999999996,3,Low
1194,13.97,1.397,12,Low
1195,2.99,1.495,3,Low
1197,47.3,2.3649999999999998,23,Low
1200,15.73,1.573,14,Low
1201,0.99,0.99,1,Low
1203,1.78,1.78,2,Low
1205,2.44,1.22,2,Low
1206,0.97,0.97,1,Low
1209,5.38,2.69,2,Low
1211,5.1899999999999995,1.7299999999999998,3,Low
1216,23.53,1.9608333333333334,14,Low
1217,0.89,0.89,1,Low
1218,5.84,2.92,2,Low
1219,23.37,1.558,22,Low
1222,3.35,3.35,1,Low
1223,8.17,2.0425,5,Low
1225,5.88,2.94,2,Low
1226,25.88,1.6175,18,Low
1228,5.2700000000000005,1.7566666666666668,3,Low
1237,6.96,1.74,5,Low
1239,6.1,2.033333333333333,3,Low
1241,5.38,1.345,5,Low
1245,2.87,1.435,3,Low
1246,3.37,1.1233333333333333,4,Low
1247,2.7800000000000002,1.3900000000000001,2,Low
1248,2.25,2.25,1,Low
1249,4.87,0.974,5,Low
1250,17.0,1.7,10,Low
1253,10.57,2.114,5,Low
1254,0.39,0.39,1,Low
1255,7.04,1.408,6,Low
1256,3.38,1.69,2,Low
1257,1.79,1.79,1,Low
1258,8.02,2.6733333333333333,4,Low
1259,26.15,2.0115384615384615,13,Low
1260,6.68,3.34,2,Low
1261,2.45,2.45,1,Low
1262,5.96,1.49,4,Low
1263,0.89,0.89,1,Low
1266,3.49,3.49,1,Low
1268,11.57,2.8925,4,Low
1269,1.29,1.29,1,Low
1270,35.94,1.7114285714285713,26,Low
1272,4.26,2.13,2,Low
1275,2.25,2.25,1,Low
1276,4.1899999999999995,2.0949999999999998,4,Low
1277,1.5899999999999999,0.5299999999999999,3,Low
1278,12.59,3.1475,7,Low
1281,1.55,1.55,1,Low
1283,0.8,0.8,1,Low
1284,4.59,2.295,3,Low
1286,4.23,1.4100000000000001,3,Low
1287,16.47,2.3528571428571428,7,Low
1288,0.99,0.99,1,Low
1290,53.51,1.274047619047619,43,Low
1291,4.98,2.49,2,Low
1292,12.46,2.492,12,Low
1293,13.46,1.346,12,Low
1295,78.09,2.8922222222222222,68,Low
1297,12.1,1.7285714285714284,10,Low
1299,16.560000000000002,1.6560000000000001,11,Low
1301,1.34,1.34,1,Low
1303,2.88,1.44,2,Low
1304,2.99,2.99,1,Low
1307,2.69,2.69,1,Low
1308,7.28,2.4266666666666667,4,Low
1310,17.55,1.5954545454545455,13,Low
1314,4.66,1.165,4,Low
1315,4.21,1.0525,4,Low
1316,10.69,1.1877777777777778,11,Low
1318,5.22,1.305,4,Low
1319,7.52,1.88,6,Low
1321,9.01,2.2525,6,Low
1322,18.52,1.6836363636363636,11,Low
1323,35.76,1.3753846153846152,27,Low
1324,3.58,1.1933333333333334,3,Low
1325,2.19,1.095,2,Low
1326,3.96,1.98,4,Low
1327,10.790000000000001,1.5414285714285716,9,Low
1328,4.18,1.3933333333333333,3,Low
1329,12.48,1.56,12,Low
1330,2.39,2.39,1,Low
1333,55.120000000000005,2.296666666666667,41,Low
1335,2.38,1.19,2,Low
1336,4.92,0.82,6,Low
1337,3.69,1.845,2,Low
1338,1.68,1.68,2,Low
1339,2.99,2.99,1,Low
1340,0.79,0.79,1,Low
1341,1.19,1.19,1,Low
1342,4.47,1.49,4,Low
1343,1.99,1.99,1,Low
1344,18.36,1.3114285714285714,15,Low
1346,3.27,1.09,3,Low
1350,5.29,2.645,3,Low
1352,7.78,3.89,2,Low
1355,13.14,2.19,6,Low
1357,19.25,2.138888888888889,10,Low
1358,0.99,0.99,1,Low
1359,1.69,1.69,1,Low
1360,2.39,2.39,1,Low
1363,7.13,1.7825,5,Low
1364,1.99,1.99,1,Low
1366,4.88,2.44,2,Low
1367,8.08,2.6933333333333334,3,Low
1369,1.79,1.79,1,Low
1370,7.529999999999999,1.8824999999999998,5,Low
1372,12.09,0.9299999999999999,13,Low
1373,1.99,1.99,1,Low
1374,0.79,0.79,1,Low
1376,12.14,2.428,6,Low
1378,9.99,1.998,5,Low
1379,5.25,1.3125,4,Low
1380,10.18,1.6966666666666665,8,Low
1381,13.69,1.9557142857142857,7,Low
1382,5.87,1.174,7,Low
1383,13.559999999999999,2.26,6,Low
1384,12.78,1.8257142857142856,10,Low
1385,0.99,0.99,1,Low
1387,25.71,1.9776923076923079,13,Low
1388,1.49,1.49,1,Low
1389,2.79,1.395,2,Low
1390,14.54,1.3218181818181818,13,Low
1392,11.21,1.6014285714285716,8,Low
1394,1.5,1.5,2,Low
1396,2.69,2.69,1,Low
1397,3.59,1.795,2,Low
1398,2.49,1.245,2,Low
1399,0.79,0.79,1,Low
1400,3.25,1.625,2,Low
1403,36.32,2.1364705882352943,21,Low
1404,1.89,1.89,1,Low
1405,14.93,1.6588888888888889,13,Low
1407,4.68,0.9359999999999999,6,Low
1409,1.5,1.5,1,Low
1410,27.79,2.779,15,Low
1411,4.359999999999999,1.0899999999999999,4,Low
1412,1.99,1.99,1,Low
1413,6.35,1.27,5,Low
1416,6.4799999999999995,1.6199999999999999,4,Low
1417,9.629999999999999,1.9259999999999997,5,Low
1418,17.55,1.7550000000000001,11,Low
1421,3.09,0.7725,4,Low
1422,8.350000000000001,2.0875000000000004,5,Low
1423,2.0,2.0,1,Low
1424,5.71,1.142,5,Low
1426,3.7600000000000002,1.2533333333333334,3,Low
1429,3.52,0.88,4,Low
1431,7.27,1.454,5,Low
1432,6.17,1.5425,5,Low
1433,28.65,1.91,20,Low
1434,0.67,0.67,1,Low
1435,5.35,1.3375,5,Low
1436,4.779999999999999,1.1949999999999998,5,Low
1437,4.66,1.165,4,Low
1439,6.9399999999999995,1.388,5,Low
1440,6.58,3.29,2,Low
1442,5.38,2.69,2,Low
1445,11.46,1.2733333333333334,9,Low
1447,2.2600000000000002,1.1300000000000001,2,Low
1448,4.0,2.0,5,Low
1449,4.18,2.09,2,Low
1450,1.99,1.99,1,Low
1451,8.79,1.09875,10,Low
1454,2.69,2.69,1,Low
1455,5.18,2.59,2,Low
1458,41.42,2.301111111111111,23,Low
1459,6.7700000000000005,2.256666666666667,5,Low
1460,16.84,1.684,10,Low
1461,6.72,1.68,5,Low
1463,1.89,1.89,1,Low
1465,1.97,0.6566666666666666,3,Low
1466,21.93,1.8275,13,Low
1468,5.54,1.385,4,Low
1470,5.85,1.4625,5,Low
1471,16.15,1.7944444444444443,9,Low
1473,1.63,0.815,2,Low
1475,2.6799999999999997,1.3399999999999999,2,Low
1476,8.84,1.262857142857143,9,Low
1477,0.89,0.89,1,Low
1479,1.18,0.59,2,Low
1480,3.73,1.865,2,Low
1481,11.1,1.5857142857142856,7,Low
1484,12.649999999999999,2.53,5,Low
1486,23.59,1.474375,19,Low
1487,12.65,1.58125,11,Low
1490,2.14,1.07,2,Low
1491,58.51,1.46275,43,Low
1495,1.29,1.29,1,Low
1496,11.66,1.6657142857142857,7,Low
1497,3.88,0.97,4,Low
1499,15.82,1.7577777777777779,10,Low
1502,3.1799999999999997,1.5899999999999999,2,Low
1504,9.530000000000001,1.9060000000000001,7,Low
1507,7.17,2.39,3,Low
1508,16.12,1.612,13,Low
1509,37.51,2.206470588235294,20,Low
1510,1.25,1.25,1,Low
